InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536067,21082,CHOCOLATE HOT WATER BOTTLE,8,2011-03-17 00:00:00,6.76,12535,United Kingdom
536068,21031,JUMBO BAG RED RETROSPOT,2,2011-01-22 00:00:00,11.11,16477,United Kingdom
536069,21055,HANGING METAL LANTERN,1,2011-01-05 00:00:00,12.57,13830,United Kingdom
536070,21033,FAIRY CAKE FLANNEL ASSORTED COLOUR,3,2011-01-02 00:00:00,4.91,15419,United Kingdom
536071,21013,JUMBO BAG RED RETROSPOT,7,2010-12-01 00:00:00,11.11,13496,France
536072,21062,STRAWBERRY CERAMIC TRINKET POT,1,2010-12-02 00:00:00,1.34,13916,Sweden
536073,21084,HEART SHAPED DOUGHNUT,13,2011-01-13 00:00:00,14.56,18103,United Kingdom
536074,21018,JUMBO BAG RED RETROSPOT,2,2010-12-11 00:00:00,11.11,16076,United Kingdom
536074,21088,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-02 00:00:00,5.93,17090,United Kingdom
536074,21046,LUNCH BAG RED RETROSPOT,1,2010-12-17 00:00:00,2.76,17518,United Kingdom
536075,21020,REGENCY CAKESTAND 3 TIER,1,2011-04-21 00:00:00,14.29,16339,Netherlands
536076,21003,CHILLI LIGHTS,1,2010-12-08 00:00:00,0.8,15413,Germany
536077,21061,PINK VINTAGE PAISLEY PICNIC BAG,1,2010-12-22 00:00:00,3.14,13321,United Kingdom
536077,21013,JUMBO BAG PINK POLKADOT,4,2010-12-06 00:00:00,8.11,18252,United Kingdom
536077,21056,HOME BUILDING BLOCK WORD,7,2011-01-29 00:00:00,9.22,16092,Spain
536077,21079,HOME BUILDING BLOCK WORD,1,2011-01-27 00:00:00,9.22,15195,United Kingdom
536078,21005,REGENCY CAKESTAND 3 TIER,2,2010-12-14 00:00:00,14.29,13791,United Kingdom
536078,21081,LUNCH BAG RED RETROSPOT,1,2011-01-04 00:00:00,2.76,15397,Germany
536078,21091,CHOCOLATE HOT WATER BOTTLE,6,2010-12-13 00:00:00,6.76,12908,Italy
536079,21048,CHOCOLATE HOT WATER BOTTLE,7,2010-12-09 00:00:00,6.76,13564,United Kingdom
536080,21005,LOVE BUILDING BLOCK WORD,1,2011-01-06 00:00:00,10.77,18147,United Kingdom
536081,21031,LOVE BUILDING BLOCK WORD,1,2010-12-13 00:00:00,10.77,17657,United Kingdom
536081,21046,HANGING METAL LANTERN,3,2010-12-01 00:00:00,12.57,17028,Netherlands
536082,21035,HEART OF WICKER SMALL,1,2010-12-31 00:00:00,13.06,15715,United Kingdom
536082,21060,STRAWBERRY CERAMIC TRINKET POT,3,2011-03-09 00:00:00,1.34,14825,United Kingdom
536082,21064,PARTY BUNTING,1,2011-01-14 00:00:00,9.18,13931,Portugal
536083,21082,LOVE BUILDING BLOCK WORD,2,2010-12-02 00:00:00,10.77,17215,United Kingdom
536084,21007,HEART SHAPED DOUGHNUT,5,2010-12-05 00:00:00,14.56,17881,United Kingdom
536084,21026,PINK VINTAGE PAISLEY PICNIC BAG,3,2011-01-14 00:00:00,3.14,16360,United Kingdom
536084,21029,PARTY BUNTING,2,2010-12-19 00:00:00,9.18,18105,United Kingdom
536085,21067,REGENCY CAKESTAND 3 TIER,5,2010-12-08 00:00:00,14.29,16477,United Kingdom
536086,21057,PINK VINTAGE PAISLEY PICNIC BAG,2,2010-12-31 00:00:00,3.14,18229,United Kingdom
536087,21025,ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-08 00:00:00,2.76,17069,United Kingdom
536088,21017,HEART SHAPED DOUGHNUT,2,2011-03-14 00:00:00,14.56,15215,United Kingdom
536088,21044,BLUE KALMIA CERAMIC MUG,3,2010-12-01 00:00:00,3.58,15080,Netherlands
536088,21017,RETROSPOT TEA SET CERAMIC 11 PC,5,2010-12-20 00:00:00,4.72,12362,United Kingdom
536089,21002,HOME BUILDING BLOCK WORD,1,2010-12-21 00:00:00,9.22,15740,Sweden
536090,21082,HANGING METAL LANTERN,1,2010-12-19 00:00:00,12.57,17279,France
536091,21008,CHILLI LIGHTS,4,2011-01-29 00:00:00,0.8,15119,United Kingdom
536092,21080,HOME BUILDING BLOCK WORD,1,2011-04-09 00:00:00,9.22,16443,Spain
536093,21002,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-01 00:00:00,5.93,18193,United Kingdom
536094,21038,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-14 00:00:00,5.93,15715,Netherlands
536095,21061,REGENCY CAKESTAND 3 TIER,1,2011-01-03 00:00:00,14.29,16042,United Kingdom
536096,21076,ASSORTED COLOUR BIRD ORNAMENT,3,2010-12-29 00:00:00,2.76,12920,United Kingdom
536097,21084,RETROSPOT TEA SET CERAMIC 11 PC,2,2011-01-20 00:00:00,4.72,14506,Switzerland
536098,21082,JUMBO BAG RED RETROSPOT,1,2010-12-06 00:00:00,11.11,12920,United Kingdom
536098,21045,HANGING METAL LANTERN,2,2010-12-29 00:00:00,12.57,17221,United Kingdom
536098,21037,CHOCOLATE HOT WATER BOTTLE,1,2010-12-01 00:00:00,6.76,17625,United Kingdom
536099,21054,JUMBO BAG RED RETROSPOT,1,2010-12-16 00:00:00,11.11,16687,United Kingdom
536099,21024,HEART SHAPED DOUGHNUT,1,2011-03-08 00:00:00,14.56,14032,United Kingdom
536100,21051,HEART SHAPED DOUGHNUT,5,2010-12-22 00:00:00,14.56,15093,Switzerland
536101,21042,PARTY BUNTING,7,2011-02-08 00:00:00,9.18,16021,Italy
536102,21099,JUMBO BAG RED RETROSPOT,3,2010-12-30 00:00:00,11.11,17595,United Kingdom
536103,21069,LOVE BUILDING BLOCK WORD,1,2011-03-17 00:00:00,10.77,16186,Portugal
536103,21070,PINK VINTAGE PAISLEY PICNIC BAG,3,2010-12-26 00:00:00,3.14,15807,France
536104,21076,REGENCY CAKESTAND 3 TIER,6,2010-12-01 00:00:00,14.29,12915,United Kingdom
536104,21080,PINK VINTAGE PAISLEY PICNIC BAG,1,2011-02-03 00:00:00,3.14,12908,United Kingdom
536105,21001,HOME BUILDING BLOCK WORD,2,2010-12-09 00:00:00,9.22,14903,Germany
536105,21044,CHILLI LIGHTS,4,2011-01-02 00:00:00,0.8,16461,Belgium
536106,21002,ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-04 00:00:00,2.76,17362,Netherlands
536106,21069,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-19 00:00:00,5.93,15081,United Kingdom
536106,21043,HEART SHAPED DOUGHNUT,1,2011-04-09 00:00:00,14.56,16443,Netherlands
536106,21044,STRAWBERRY CERAMIC TRINKET POT,2,2010-12-22 00:00:00,1.34,17976,United Kingdom
536107,21085,RETROSPOT TEA SET CERAMIC 11 PC,4,2010-12-07 00:00:00,4.72,17921,United Kingdom
536107,21055,ASSORTED COLOUR BIRD ORNAMENT,7,2010-12-06 00:00:00,2.76,12599,United Kingdom
536108,21076,JUMBO BAG PINK POLKADOT,1,2011-01-23 00:00:00,8.11,14277,Germany
536108,21053,PARTY BUNTING,4,2010-12-08 00:00:00,9.18,12915,United Kingdom
536109,21041,REGENCY CAKESTAND 3 TIER,23,2010-12-02 00:00:00,14.29,16687,Switzerland
536110,21004,HANGING METAL LANTERN,2,2010-12-04 00:00:00,12.57,14546,Germany
536111,21001,JUMBO BAG PINK POLKADOT,7,2010-12-12 00:00:00,8.11,16391,Italy
536111,21019,PINK VINTAGE PAISLEY PICNIC BAG,3,2010-12-29 00:00:00,3.14,15413,Germany
C536112,21011,FAIRY CAKE FLANNEL ASSORTED COLOUR,3,2010-12-18 00:00:00,4.91,14416,United Kingdom
536113,21072,LOVE BUILDING BLOCK WORD,5,2010-12-21 00:00:00,10.77,15136,Netherlands
536114,21015,HEART SHAPED DOUGHNUT,1,2010-12-23 00:00:00,14.56,16391,United Kingdom
C536115,21023,BLUE KALMIA CERAMIC MUG,4,2011-03-04 00:00:00,3.58,14162,Germany
536116,21021,PINK VINTAGE PAISLEY PICNIC BAG,1,2011-02-17 00:00:00,3.14,13326,United Kingdom
536117,21027,BLUE KALMIA CERAMIC MUG,2,2010-12-09 00:00:00,3.58,15580,United Kingdom
536118,21049,HEART OF WICKER SMALL,2,2010-12-29 00:00:00,13.06,17699,United Kingdom
536119,21031,CHILLI LIGHTS,1,2011-01-28 00:00:00,0.8,14800,Spain
536120,21054,LOVE BUILDING BLOCK WORD,8,2010-12-17 00:00:00,10.77,17100,United Kingdom
536121,21021,LOVE BUILDING BLOCK WORD,1,2010-12-01 00:00:00,10.77,16193,United Kingdom
536122,21042,HOME BUILDING BLOCK WORD,4,2010-12-06 00:00:00,9.22,14061,United Kingdom
536123,21039,LUNCH BAG RED RETROSPOT,2,2011-01-09 00:00:00,2.76,13493,United Kingdom
536124,21049,PARTY BUNTING,1,2010-12-17 00:00:00,9.18,15021,United Kingdom
536125,21071,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2010-12-12 00:00:00,4.91,18105,United Kingdom
536126,21064,BLUE KALMIA CERAMIC MUG,3,2010-12-02 00:00:00,3.58,14384,Germany
536126,21075,JUMBO BAG RED RETROSPOT,2,2010-12-18 00:00:00,11.11,15445,United Kingdom
536127,21036,CHOCOLATE HOT WATER BOTTLE,3,2010-12-13 00:00:00,6.76,14053,United Kingdom
536127,21068,JUMBO BAG RED RETROSPOT,2,2010-12-14 00:00:00,11.11,14032,United Kingdom
536128,21072,LUNCH BAG RED RETROSPOT,1,2010-12-31 00:00:00,2.76,12362,United Kingdom
536129,21081,JUMBO BAG RED RETROSPOT,1,2010-12-02 00:00:00,11.11,15782,United Kingdom
536130,21077,RETROSPOT TEA SET CERAMIC 11 PC,1,2010-12-25 00:00:00,4.72,14103,United Kingdom
536131,21012,SET OF 3 MONOCHROME HEART MUGS,2,2010-12-17 00:00:00,3.16,18241,United Kingdom
536132,21005,RETROSPOT TEA SET CERAMIC 11 PC,2,2010-12-15 00:00:00,4.72,16200,United Kingdom
536133,21033,RETROSPOT TEA SET CERAMIC 11 PC,3,2010-12-03 00:00:00,4.72,14402,France
536134,21066,RETROSPOT TEA SET CERAMIC 11 PC,4,2010-12-02 00:00:00,4.72,18215,United Kingdom
536135,21026,HOME BUILDING BLOCK WORD,3,2011-01-22 00:00:00,9.22,17028,Switzerland
536136,21012,JUMBO BAG RED RETROSPOT,5,2010-12-26 00:00:00,11.11,13161,United Kingdom
536137,21078,JUMBO BAG PINK POLKADOT,3,2011-01-03 00:00:00,8.11,14959,United Kingdom
536138,21091,RETROSPOT TEA SET CERAMIC 11 PC,6,2010-12-12 00:00:00,4.72,13326,United Kingdom
536139,21054,RETROSPOT TEA SET CERAMIC 11 PC,3,2011-02-19 00:00:00,4.72,14611,Netherlands
536140,21003,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-01-13 00:00:00,5.93,15119,United Kingdom
536141,21025,HANGING METAL LANTERN,2,2010-12-03 00:00:00,12.57,12920,United Kingdom
536141,21078,HEART SHAPED DOUGHNUT,11,2010-12-17 00:00:00,14.56,13982,United Kingdom
536142,21023,ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-01 00:00:00,2.76,15597,United Kingdom
536142,21050,CHOCOLATE HOT WATER BOTTLE,1,2010-12-08 00:00:00,6.76,17398,United Kingdom
536142,21028,HOME BUILDING BLOCK WORD,2,2010-12-06 00:00:00,9.22,13621,Netherlands
536143,21040,SET OF 3 MONOCHROME HEART MUGS,4,2010-12-29 00:00:00,3.16,15296,United Kingdom
536144,21063,RETROSPOT TEA SET CERAMIC 11 PC,4,2011-01-26 00:00:00,4.72,13130,United Kingdom
536145,21055,BLUE KALMIA CERAMIC MUG,1,2010-12-15 00:00:00,3.58,13694,United Kingdom
536146,21039,ASSORTED COLOUR BIRD ORNAMENT,1,2011-01-12 00:00:00,2.76,15565,United Kingdom
536147,21032,JUMBO BAG PINK POLKADOT,3,2010-12-07 00:00:00,8.11,13874,Belgium
536148,21026,CHILLI LIGHTS,2,2011-01-25 00:00:00,0.8,13694,United Kingdom
536148,21052,SET OF 3 MONOCHROME HEART MUGS,5,2010-12-20 00:00:00,3.16,12380,United Kingdom
536149,21009,LOVE BUILDING BLOCK WORD,7,2011-03-04 00:00:00,10.77,14959,United Kingdom
536150,21060,SET OF 3 MONOCHROME HEART MUGS,1,2011-01-25 00:00:00,3.16,17493,United Kingdom
536151,21017,REGENCY CAKESTAND 3 TIER,2,2010-12-18 00:00:00,14.29,17257,Germany
536151,21008,CHOCOLATE HOT WATER BOTTLE,1,2011-04-13 00:00:00,6.76,18200,United Kingdom
C536151,21005,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-03 00:00:00,5.93,17221,United Kingdom
536152,21028,BLUE KALMIA CERAMIC MUG,15,2011-03-16 00:00:00,3.58,16407,United Kingdom
536153,21038,LUNCH BAG RED RETROSPOT,4,2011-01-13 00:00:00,2.76,16416,United Kingdom
536153,21066,FAIRY CAKE FLANNEL ASSORTED COLOUR,2,2011-01-13 00:00:00,4.91,14801,Switzerland
536154,21062,PARTY BUNTING,3,2011-01-14 00:00:00,9.18,17438,United Kingdom
536155,21053,PARTY BUNTING,2,2011-03-28 00:00:00,9.18,14903,United Kingdom
536156,21055,REGENCY CAKESTAND 3 TIER,1,2010-12-13 00:00:00,14.29,15470,United Kingdom
536156,21030,BLUE KALMIA CERAMIC MUG,2,2010-12-29 00:00:00,3.58,18224,United Kingdom
536157,21032,CHOCOLATE HOT WATER BOTTLE,7,2011-01-01 00:00:00,6.76,15803,United Kingdom
536158,21008,HOME BUILDING BLOCK WORD,3,2010-12-31 00:00:00,9.22,15419,United Kingdom
536159,21089,HEART SHAPED DOUGHNUT,1,2010-12-12 00:00:00,14.56,13362,United Kingdom
536160,21050,JUMBO BAG PINK POLKADOT,1,2011-01-04 00:00:00,8.11,16333,United Kingdom
536160,21056,HEART SHAPED DOUGHNUT,4,2010-12-24 00:00:00,14.56,17398,United Kingdom
536161,21008,STRAWBERRY CERAMIC TRINKET POT,3,2011-02-01 00:00:00,1.34,13405,United Kingdom
536162,21099,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-02-02 00:00:00,5.93,13652,Germany
536163,21091,CHILLI LIGHTS,2,2011-01-10 00:00:00,0.8,17942,Italy
536163,21054,HOME BUILDING BLOCK WORD,3,2010-12-01 00:00:00,9.22,15184,United Kingdom
536164,21095,REGENCY CAKESTAND 3 TIER,5,2011-01-04 00:00:00,14.29,15405,United Kingdom
536165,21010,LUNCH BAG RED RETROSPOT,1,2010-12-15 00:00:00,2.76,17100,Belgium
536166,21074,LUNCH BAG RED RETROSPOT,4,2010-12-01 00:00:00,2.76,14731,United Kingdom
536167,21014,HANGING METAL LANTERN,1,2010-12-27 00:00:00,12.57,17885,United Kingdom
536168,21082,RETROSPOT TEA SET CERAMIC 11 PC,3,2010-12-28 00:00:00,4.72,17082,Netherlands
536169,21076,CHOCOLATE HOT WATER BOTTLE,3,2010-12-03 00:00:00,6.76,14053,United Kingdom
536170,21055,PARTY BUNTING,3,2010-12-18 00:00:00,9.18,15185,United Kingdom
536171,21057,RETROSPOT TEA SET CERAMIC 11 PC,1,2011-01-18 00:00:00,4.72,15162,United Kingdom
536172,21015,FAIRY CAKE FLANNEL ASSORTED COLOUR,4,2010-12-21 00:00:00,4.91,12908,United Kingdom
536173,21061,STRAWBERRY CERAMIC TRINKET POT,3,2010-12-27 00:00:00,1.34,12737,Germany
536174,21081,CHILLI LIGHTS,1,2011-01-23 00:00:00,0.8,13994,Netherlands
536175,21064,LOVE BUILDING BLOCK WORD,6,2010-12-08 00:00:00,10.77,13341,United Kingdom
536175,21039,LOVE BUILDING BLOCK WORD,9,2011-01-06 00:00:00,10.77,16643,United Kingdom
536176,21060,PARTY BUNTING,5,2010-12-06 00:00:00,9.18,17237,United Kingdom
536177,21086,PARTY BUNTING,1,2010-12-10 00:00:00,9.18,14624,United Kingdom
536177,21089,BLUE KALMIA CERAMIC MUG,1,2010-12-10 00:00:00,3.58,13841,United Kingdom
536178,21057,HANGING METAL LANTERN,6,2010-12-02 00:00:00,12.57,16189,Germany
536179,21075,STRAWBERRY CERAMIC TRINKET POT,1,2010-12-09 00:00:00,1.34,14506,United Kingdom
536180,21014,STRAWBERRY CERAMIC TRINKET POT,2,2011-01-22 00:00:00,1.34,17842,United Kingdom
536181,21049,JUMBO BAG PINK POLKADOT,1,2011-01-08 00:00:00,8.11,17657,United Kingdom
536182,21068,HEART SHAPED DOUGHNUT,2,2010-12-04 00:00:00,14.56,12915,Belgium
536183,21058,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-04 00:00:00,5.93,12647,Spain
536184,21065,FAIRY CAKE FLANNEL ASSORTED COLOUR,3,2010-12-03 00:00:00,4.91,13086,Spain
536185,21051,SET OF 3 MONOCHROME HEART MUGS,1,2010-12-04 00:00:00,3.16,13321,United Kingdom
536186,21064,PINK VINTAGE PAISLEY PICNIC BAG,3,2011-01-19 00:00:00,3.14,12546,Germany
536187,21086,STRAWBERRY CERAMIC TRINKET POT,7,2010-12-24 00:00:00,1.34,16643,France
